digit,free_prediction,plus_prediction,minus_prediction,free_loss,plus_loss,minus_loss,plus_minus_free_loss,minus_minus_free_loss,plus_target_dot,minus_target_dot,plusminus_target_dot,plus_target_cos,minus_target_cos,plusminus_target_cos,plus_output_rms,minus_output_rms,plusminus_output_rms,plus_hidden_rms,minus_hidden_rms,plusminus_hidden_rms,plus_input_rms,minus_input_rms,worker_buffer_norm
3,7,7,7,16.83572,16.83572187516508,16.83572187516508,1.8129092218543974e-6,1.8129092218543974e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03108560111112485,0.03337291578079937,0.045607741712918586,0.0,0.0,77.587685
5,3,3,3,9.112913,9.112912661842032,9.112912661842032,-4.698718356621612e-7,-4.698718356621612e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031080202787197444,0.032422693925795006,0.044913362006190324,0.0,0.0,77.05678
3,7,7,7,11.471204,11.471203290302597,11.471203290302597,-5.137135161703554e-7,-5.137135161703554e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03103512726906772,0.031784904685449485,0.04442363436809666,0.0,0.0,74.29046
6,2,2,2,15.816048,15.816048208392438,15.816048208392438,5.399354066071282e-7,5.399354066071282e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030322913052214656,0.031800928889896315,0.04394062054901378,0.0,0.0,73.636406
1,8,8,8,17.788956,17.78895600212396,17.78895600212396,3.1364739783157347e-7,3.1364739783157347e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0310680875359003,0.03344466527855178,0.04564834825853757,0.0,0.0,78.95019
7,1,1,1,15.233494,15.233495516156275,15.233495516156275,1.7112246339934245e-6,1.7112246339934245e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030654099947590083,0.03164710523721701,0.0440592001004595,0.0,0.0,74.780235
2,7,7,7,17.798895,17.79889345768838,17.79889345768838,-1.4245137691659693e-6,-1.4245137691659693e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030225295543778057,0.03174178917603052,0.043830465099109976,0.0,0.0,73.89795
8,9,9,9,20.23008,20.230080242748855,20.230080242748855,5.91869948607382e-7,5.91869948607382e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031131043290756114,0.033070775498401074,0.04541825677452379,0.0,0.0,76.3431
6,9,9,9,9.806249,9.806249246053397,9.806249246053397,5.811974403968634e-7,5.811974403968634e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030443656244495153,0.032027477474507876,0.04418795671801422,0.0,0.0,75.18799
9,4,4,4,9.489145,9.489145413657099,9.489145413657099,1.3472643445311405e-7,1.3472643445311405e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02885667835321743,0.031230815376424595,0.04252142653601083,0.0,0.0,72.46515
4,3,3,3,10.189102,10.18910303282233,10.18910303282233,8.599707683742963e-7,8.599707683742963e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029992165984818152,0.03264910258479703,0.044333891325412475,0.0,0.0,74.920494
0,9,9,9,18.671158,18.671158117178038,18.671158117178038,2.8026397558278404e-7,2.8026397558278404e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030278850100638032,0.03106345725782713,0.04337910949092617,0.0,0.0,72.71603
9,0,0,0,12.119072,12.119071323863736,12.119071323863736,-6.365854829937234e-7,-6.365854829937234e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02992442082731462,0.03144367951796724,0.04340709554299681,0.0,0.0,73.9005
1,6,6,6,18.545757,18.545758223650495,18.545758223650495,9.299493228809297e-7,9.299493228809297e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031000022233568503,0.03287744819196827,0.04518769719843333,0.0,0.0,77.82967
1,7,7,7,14.080141,14.080141340601685,14.080141340601685,2.730968020614455e-7,2.730968020614455e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030540500721031094,0.031248472185834413,0.043694269627036535,0.0,0.0,74.09436
2,5,5,5,9.064701,9.064700675146312,9.064700675146312,-4.051759532330834e-7,-4.051759532330834e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02958895442173686,0.0317029343157963,0.043365680762595164,0.0,0.0,72.43368
4,4,4,4,10.738126,10.738125648532275,10.738125648532275,-1.5255415064530098e-7,-1.5255415064530098e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028136733922014722,0.030236606728725305,0.041302883461882545,0.0,0.0,70.61321
3,9,9,9,8.002422,8.002422246514243,8.002422246514243,-8.624942893220577e-8,-8.624942893220577e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029878975758984135,0.031315378746201106,0.04328286194816588,0.0,0.0,72.737015
2,3,3,3,15.980573,15.980572872298083,15.980572872298083,1.7179759481678047e-7,1.7179759481678047e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03000349566443635,0.0319321581548252,0.04381634942017215,0.0,0.0,73.77765
7,4,4,4,5.5774937,5.577493171583825,5.577493171583825,-4.960187141023198e-7,-4.960187141023198e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031731973765220176,0.032645779872826214,0.04552653185277401,0.0,0.0,78.036995
3,8,8,8,5.928378,5.9283782964487415,5.9283782964487415,1.9128516726141243e-7,1.9128516726141243e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289209089864585,0.031241501934838843,0.04257288362029938,0.0,0.0,71.57978
8,8,8,8,5.6036873,5.603686828536212,5.603686828536212,-4.5784074131915986e-7,-4.5784074131915986e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306994291548975,0.02989742759737539,0.04285220096304126,0.0,0.0,72.414406
6,4,4,4,13.137352,12.76722797518812,13.137351655632244,-0.37012401455797317,-3.341138494761253e-7,0.21453382331907278,0.0,0.21453382331907278,0.2437935365452087,0.0,0.2437935365452087,0.07677497391339308,0.0,0.07677497391339308,0.0320534116386223,0.03151980916862366,0.04495463900090201,0.0,0.0,76.60877
9,5,5,5,10.075423,9.039771214240673,10.075423039047365,-1.035652026420948,-2.0161425595688343e-7,0.5816276330972556,0.0,0.5816276330972556,0.5129584460981236,0.0,0.5129584460981236,0.11296169323616716,0.0,0.11296169323616716,0.031355962711559285,0.03264485468807113,0.045264588092392664,0.0,0.0,77.93483
0,3,3,3,9.69882,9.602001066947523,9.698820147300282,-0.09681904718821954,3.316453955903853e-8,0.07788152327339048,0.0,0.07788152327339048,0.10300428921695283,0.0,0.10300428921695283,0.07677497391339308,0.0,0.07677497391339308,0.03191380261133257,0.03264223146137516,0.045650915345621365,0.0,0.0,77.70652
5,5,5,5,5.1417813,5.01259964259836,5.141781007117828,-0.12918168751028247,-3.229908145385707e-7,0.0940626653567449,0.0,0.0940626653567449,0.17086016600930817,0.0,0.17086016600930817,0.07677497391339308,0.0,0.07677497391339308,0.03158892262691899,0.032270232451693824,0.045157811452901785,0.0,0.0,77.461
6,6,6,6,10.7365055,10.059950557557158,10.736505540542566,-0.6765549508656932,3.2119714887812734e-8,0.36774947458971496,0.0,0.36774947458971496,0.46227553898765733,0.0,0.46227553898765733,0.07677497391339308,0.0,0.07677497391339308,0.0308019536882562,0.032173558692901796,0.04454097248578073,0.0,0.0,76.34188
0,7,7,7,17.75323,16.958822310846315,17.753227833049166,-0.7944068303890361,-1.3081861851560461e-6,0.42667474419843643,0.0,0.42667474419843643,0.41709845746991203,0.0,0.41709845746991203,0.07677497391339308,0.0,0.07677497391339308,0.03167937627231702,0.03341823244007579,0.046047379300259594,0.0,0.0,77.91197
7,2,2,2,7.1626945,7.093528699531845,7.16269429454384,-0.06916575466127028,-1.5964927513323346e-7,0.04722129464897762,0.0,0.04722129464897762,0.11097801894719288,0.0,0.11097801894719288,0.05027623124893123,0.0,0.05027623124893123,0.033274063216723326,0.03352403161922899,0.04723371654821973,0.0,0.0,80.340645
6,2,2,2,7.149455,6.687912857644392,7.149455059019402,-0.46154221285121366,-1.1476203098936821e-8,0.2602430801667559,0.0,0.2602430801667559,0.4008880130718663,0.0,0.4008880130718663,0.07677496920123215,0.0,0.07677496920123215,0.031243284111757898,0.03225811852026352,0.044908006107546035,0.0,0.0,76.40657
1,9,6,9,12.283941,11.440303551753573,12.283941929553919,-0.8436377171673257,6.606330202885147e-7,0.45129117199718394,0.0,0.45129117199718394,0.5303569899214218,0.0,0.5303569899214218,0.07677497391339308,0.0,0.07677497391339308,0.03168381705765884,0.03188190640896592,0.044947972363759144,0.0,0.0,78.047615
8,1,1,1,16.051947,16.081862897562857,16.05194562145121,0.02991625754820859,-1.018563438037745e-6,-0.01419616884811603,0.0,-0.01419616884811603,-0.09073632259306892,0.0,-0.09073632259306892,0.012348839684013098,0.0,0.012348839684013098,0.03101350073732412,0.033292308359989024,0.04549961564585572,0.0,0.0,76.72136
7,7,7,7,15.078621,14.566636507526955,15.078621571988975,-0.5119844031175766,6.613444440972671e-7,0.285464511710261,0.0,0.285464511710261,0.3027970614084153,0.0,0.3027970614084153,0.07677496920123215,0.0,0.07677496920123215,0.03275335958287992,0.0329150953855413,0.04643475065298309,0.0,0.0,80.17467
9,8,8,8,13.329084,13.286208163085949,13.329085178721044,-0.042876233276356146,7.823587395705545e-7,0.026718465356466936,0.0,0.026718465356466936,0.07121658523690211,0.0,0.07121658523690211,0.03249602295333716,0.0,0.03249602295333716,0.03110958001758475,0.033033227168390356,0.04537620594572657,0.0,0.0,77.516396
3,3,3,3,13.429901,13.340604396514976,13.42989992463552,-0.08929672653189868,-1.198411354152995e-6,0.0741197471572832,0.0,0.0741197471572832,0.08330630154824793,0.0,0.08330630154824793,0.07677497391339308,0.0,0.07677497391339308,0.031854262793148395,0.03070388579451595,0.044242769589817,0.0,0.0,75.707184
9,9,9,9,10.504938,10.494305554207674,10.504937736436673,-0.010632571402677371,-3.8917367817248305e-7,0.005619876837620552,0.0,0.005619876837620552,0.07034469756208009,0.0,0.07034469756208009,0.0077946869484406215,0.0,0.0077946869484406215,0.032040794884737524,0.034029118295651965,0.04673963445326993,0.0,0.0,79.06679
8,3,3,3,15.892845,15.36633486593284,15.892846662498584,-0.5265102878757535,1.508689990714629e-6,0.29272787866656325,0.0,0.29272787866656325,0.3024430381972499,0.0,0.3024430381972499,0.07677497037927239,0.0,0.07677497037927239,0.03153885718360721,0.03349869338841588,0.04600936829797894,0.0,0.0,77.42936
5,5,5,5,12.524478,12.374413017964258,12.524478005190957,-0.15006494071494103,4.651175800063356e-8,0.10450447671036045,0.0,0.10450447671036045,0.12162851693280129,0.0,0.12162851693280129,0.07677497391339308,0.0,0.07677497391339308,0.031115388185176694,0.03415095693563892,0.04620016495137325,0.0,0.0,79.7888
9,7,7,7,9.743935,9.0502745082889,9.743933989623656,-0.6936601230587556,-6.41724000161048e-7,0.4004714991568292,0.0,0.4004714991568292,0.3916858866949313,0.0,0.3916858866949313,0.10357775677185861,0.0,0.10357775677185861,0.03231051131857425,0.03236214433674094,0.04573048794556831,0.0,0.0,78.37176
3,8,4,8,9.438753,8.748367754667235,9.438752910437373,-0.6903853733845224,-2.176143851784218e-7,0.40007339241070383,0.0,0.40007339241070383,0.3930584021583164,0.0,0.3930584021583164,0.10476718429511714,0.0,0.10476718429511714,0.03269379181028852,0.03323195506459904,0.04661809584646308,0.0,0.0,79.32844
3,3,3,3,16.831581,15.691386698430913,16.831578223933523,-1.1401944172917435,-2.891789133485645e-6,0.624976573569958,0.0,0.624976573569958,0.4598074612876179,0.0,0.4598074612876179,0.10476718075681242,0.0,0.10476718075681242,0.03092810985808389,0.03203028131421607,0.044525126619264374,0.0,0.0,76.41061
0,1,1,1,11.934002,10.722254877115404,11.934002324609466,-1.211747045492018,4.0200204409757134e-7,0.6914917318361811,0.0,0.6914917318361811,0.48372261157904267,0.0,0.48372261157904267,0.13085718023031873,0.0,0.13085718023031873,0.03038849258285486,0.030336669481887076,0.04293918952089668,0.0,0.0,73.39214
7,4,4,4,6.08812,5.608731990855157,6.088120141040818,-0.479387992817939,1.5736772240870778e-7,0.27138273471037344,0.0,0.27138273471037344,0.4368915994391561,0.0,0.4368915994391561,0.07960987327906364,0.0,0.07960987327906364,0.030635015829843844,0.03222376107087734,0.04446206217043664,0.0,0.0,75.74211
4,2,2,2,13.605442,12.849088979305495,13.60544223920715,-0.7563530678136452,1.9208800949854776e-7,0.43305744076948116,0.0,0.43305744076948116,0.3543756947291073,0.0,0.3543756947291073,0.10476718075681242,0.0,0.10476718075681242,0.031065847869381123,0.031873041247290665,0.04450817522877144,0.0,0.0,76.28113
9,2,2,2,13.099144,12.81421056884531,13.099145003647715,-0.2849334130882841,1.021714121307582e-6,0.1771043430604209,0.0,0.1771043430604209,0.18591817167013283,0.0,0.18591817167013283,0.08323115481503085,0.0,0.08323115481503085,0.032178847877932445,0.032568576283221726,0.04578417206707085,0.0,0.0,77.97401
8,0,0,0,9.515871,7.974630545285301,9.515871110755185,-1.541240502688332,6.278155240124761e-8,0.8742197423849589,0.0,0.8742197423849589,0.6225906674958852,0.0,0.6225906674958852,0.1439440583351857,0.0,0.1439440583351857,0.030719566386802902,0.03233422497418615,0.04460037963599047,0.0,0.0,76.611496
0,0,0,0,7.733745,7.597187243169561,7.733745331786839,-0.13655785494445283,2.3367282508957032e-7,0.10941131427567541,0.0,0.10941131427567541,0.1371705743040216,0.0,0.1371705743040216,0.09069980150698947,0.0,0.09069980150698947,0.030238281552397415,0.03030145190357957,0.04280807936251057,0.0,0.0,72.73899
9,0,9,0,10.525451,9.49382978549302,10.525449960845343,-1.0316209209889138,-7.45636590693266e-7,0.5706909022017967,0.0,0.5706909022017967,0.5309520767545052,0.0,0.5309520767545052,0.10476718429511714,0.0,0.10476718429511714,0.0310181633620171,0.030829924078860985,0.043733404590325604,0.0,0.0,75.20013
4,1,1,1,9.54103,8.886039261952405,9.541029442809371,-0.6549906681623412,-4.873053747189715e-7,0.3653714822382028,0.0,0.3653714822382028,0.4297716094334263,0.0,0.4297716094334263,0.08703607506053979,0.0,0.08703607506053979,0.03271710679883805,0.030829468388607888,0.044954034284041156,0.0,0.0,77.31267
1,1,1,1,8.894608,7.808040403555534,8.894607335256826,-1.0865671403897785,-2.0868848693567088e-7,0.598164280376281,0.0,0.598164280376281,0.6053852301429548,0.0,0.6053852301429548,0.10476718429511714,0.0,0.10476718429511714,0.031237258143549662,0.03300377216584657,0.04544243912359755,0.0,0.0,79.22527
4,6,6,6,9.802512,9.692953050392056,9.80251145184021,-0.10955911849222133,-7.170440667891853e-7,0.08743791365378684,0.0,0.08743791365378684,0.10927393145860817,0.0,0.10927393145860817,0.08081919688998347,0.0,0.08081919688998347,0.03020817049253879,0.03028709380292053,0.042776648016566214,0.0,0.0,72.90575
4,1,1,1,16.212547,15.468253642466994,16.212545917881982,-0.7442936597790997,-1.3843641113453486e-6,0.39609023771149054,0.0,0.39609023771149054,0.4495254277290016,0.0,0.4495254277290016,0.06920130057158808,0.0,0.06920130057158808,0.03103119244443603,0.032281502962877885,0.044777565119889194,0.0,0.0,76.44037
6,9,9,9,16.672546,15.409505724325125,16.6725471083323,-1.2630406623936246,7.216135493592901e-7,0.6864015065292222,0.0,0.6864015065292222,0.507401797432047,0.0,0.507401797432047,0.10476718429511714,0.0,0.10476718429511714,0.03148076557655534,0.032063312596646736,0.04493433671432479,0.0,0.0,76.976776
0,8,8,8,15.742021,13.786672841928304,15.742020273880176,-1.9553477650663247,-3.3311445335471035e-7,1.0632917172011673,0.0,1.0632917172011673,0.6476265556054868,0.0,0.6476265556054868,0.13085717498496724,0.0,0.13085717498496724,0.030905745440382312,0.030974318601780102,0.04375583977105562,0.0,0.0,74.63257
