mode,sample_idx,repeat_idx,burnin_sweeps,average_sweeps,beta,truth,pred,target_score,max_score,score_margin
nudged_repeat,1,1,25,10,0.05,0,5,-0.35,0.2,-0.55
nudged_repeat,1,2,25,10,0.05,0,0,1.0,1.0,1.55
nudged_repeat,1,3,25,10,0.05,0,0,0.9,0.9,1.3499999
nudged_repeat,1,4,25,10,0.05,0,0,0.95,0.95,1.55
nudged_repeat,2,1,25,10,0.05,1,1,0.4,0.4,1.1
nudged_repeat,2,2,25,10,0.05,1,1,0.85,0.85,1.3
nudged_repeat,2,3,25,10,0.05,1,1,0.5,0.5,1.0
nudged_repeat,2,4,25,10,0.05,1,1,0.6,0.6,1.1
nudged_repeat,3,1,25,10,0.05,2,2,0.85,0.85,1.5
nudged_repeat,3,2,25,10,0.05,2,2,0.95,0.95,1.65
nudged_repeat,3,3,25,10,0.05,2,2,0.9,0.9,1.45
nudged_repeat,3,4,25,10,0.05,2,2,0.9,0.9,0.59999996
nudged_repeat,4,1,25,10,0.05,3,5,-0.6,-0.55,-0.050000012
nudged_repeat,4,2,25,10,0.05,3,3,0.0,0.0,0.70000005
nudged_repeat,4,3,25,10,0.05,3,3,0.9,0.9,1.8
nudged_repeat,4,4,25,10,0.05,3,3,0.75,0.75,1.55
nudged_repeat,5,1,25,10,0.05,4,4,0.70000005,0.70000005,0.95000005
nudged_repeat,5,2,25,10,0.05,4,4,0.9,0.9,1.15
nudged_repeat,5,3,25,10,0.05,4,4,0.65,0.65,1.0
nudged_repeat,5,4,25,10,0.05,4,4,0.9,0.9,1.75
nudged_repeat,6,1,25,10,0.05,5,5,-0.45000002,-0.45000002,0.39999995
nudged_repeat,6,2,25,10,0.05,5,5,0.3,0.3,0.85
nudged_repeat,6,3,25,10,0.05,5,5,1.0,1.0,1.75
nudged_repeat,6,4,25,10,0.05,5,0,-0.7,-0.5,-0.19999999
nudged_repeat,7,1,25,10,0.05,6,6,0.7,0.7,1.3499999
nudged_repeat,7,2,25,10,0.05,6,6,0.9,0.9,1.35
nudged_repeat,7,3,25,10,0.05,6,6,0.65,0.65,1.25
nudged_repeat,7,4,25,10,0.05,6,6,0.79999995,0.79999995,1.1999999
nudged_repeat,8,1,25,10,0.05,7,7,0.9,0.9,1.5999999
nudged_repeat,8,2,25,10,0.05,7,7,1.0,1.0,1.75
nudged_repeat,8,3,25,10,0.05,7,7,0.29999998,0.29999998,0.95000005
nudged_repeat,8,4,25,10,0.05,7,7,0.6,0.6,1.4000001
nudged_repeat,9,1,25,10,0.05,8,7,-0.6,-0.45000002,-0.15
nudged_repeat,9,2,25,10,0.05,8,8,0.85,0.85,1.5
nudged_repeat,9,3,25,10,0.05,8,5,-0.65,-0.45000002,-0.19999996
nudged_repeat,9,4,25,10,0.05,8,8,0.85,0.85,1.5
nudged_repeat,10,1,25,10,0.05,9,9,0.7,0.7,1.0999999
nudged_repeat,10,2,25,10,0.05,9,9,0.45,0.45,1.3
nudged_repeat,10,3,25,10,0.05,9,9,0.6,0.6,0.85
nudged_repeat,10,4,25,10,0.05,9,9,0.7,0.7,1.3499999
nudged_repeat,1,1,25,10,0.1,0,0,0.9,0.9,1.55
nudged_repeat,1,2,25,10,0.1,0,0,0.85,0.85,1.5
nudged_repeat,1,3,25,10,0.1,0,0,0.95,0.95,1.5
nudged_repeat,1,4,25,10,0.1,0,0,0.95,0.95,1.75
nudged_repeat,2,1,25,10,0.1,1,1,0.9,0.9,1.5
nudged_repeat,2,2,25,10,0.1,1,1,0.9,0.9,1.65
nudged_repeat,2,3,25,10,0.1,1,1,0.9,0.9,1.65
nudged_repeat,2,4,25,10,0.1,1,1,0.75,0.75,1.55
nudged_repeat,3,1,25,10,0.1,2,2,0.55,0.55,1.4000001
nudged_repeat,3,2,25,10,0.1,2,2,1.0,1.0,1.6
nudged_repeat,3,3,25,10,0.1,2,2,1.0,1.0,1.65
nudged_repeat,3,4,25,10,0.1,2,2,0.9,0.9,1.6999999
nudged_repeat,4,1,25,10,0.1,3,3,1.0,1.0,1.9
nudged_repeat,4,2,25,10,0.1,3,3,0.65000004,0.65000004,1.5
nudged_repeat,4,3,25,10,0.1,3,3,0.6,0.6,1.45
nudged_repeat,4,4,25,10,0.1,3,3,0.95,0.95,1.5999999
nudged_repeat,5,1,25,10,0.1,4,4,0.9,0.9,1.55
nudged_repeat,5,2,25,10,0.1,4,4,0.9,0.9,1.3
nudged_repeat,5,3,25,10,0.1,4,4,0.8,0.8,1.3
nudged_repeat,5,4,25,10,0.1,4,4,0.95,0.95,1.9
nudged_repeat,6,1,25,10,0.1,5,5,0.5,0.5,1.3
nudged_repeat,6,2,25,10,0.1,5,5,0.9,0.9,1.6999999
nudged_repeat,6,3,25,10,0.1,5,5,0.55,0.55,1.35
nudged_repeat,6,4,25,10,0.1,5,5,0.099999994,0.099999994,0.9
nudged_repeat,7,1,25,10,0.1,6,6,0.9,0.9,1.45
nudged_repeat,7,2,25,10,0.1,6,6,0.9,0.9,1.75
nudged_repeat,7,3,25,10,0.1,6,6,0.9,0.9,1.7
nudged_repeat,7,4,25,10,0.1,6,6,0.95,0.95,1.8
nudged_repeat,8,1,25,10,0.1,7,7,1.0,1.0,1.75
nudged_repeat,8,2,25,10,0.1,7,7,1.0,1.0,1.95
nudged_repeat,8,3,25,10,0.1,7,7,1.0,1.0,1.75
nudged_repeat,8,4,25,10,0.1,7,7,0.9,0.9,1.8
nudged_repeat,9,1,25,10,0.1,8,8,0.95,0.95,1.8
nudged_repeat,9,2,25,10,0.1,8,8,0.75,0.75,1.6
nudged_repeat,9,3,25,10,0.1,8,8,0.4,0.4,1.1999999
nudged_repeat,9,4,25,10,0.1,8,8,0.2,0.2,1.0
nudged_repeat,10,1,25,10,0.1,9,9,0.9,0.9,1.7
nudged_repeat,10,2,25,10,0.1,9,9,0.6,0.6,1.35
nudged_repeat,10,3,25,10,0.1,9,9,1.0,1.0,1.9
nudged_repeat,10,4,25,10,0.1,9,9,0.9,0.9,1.8
nudged_repeat,1,1,25,10,0.25,0,0,0.95,0.95,1.8499999
nudged_repeat,1,2,25,10,0.25,0,0,1.0,1.0,1.8
nudged_repeat,1,3,25,10,0.25,0,0,0.9,0.9,1.7
nudged_repeat,1,4,25,10,0.25,0,0,1.0,1.0,1.75
nudged_repeat,2,1,25,10,0.25,1,1,1.0,1.0,1.9
nudged_repeat,2,2,25,10,0.25,1,1,0.9,0.9,1.8499999
nudged_repeat,2,3,25,10,0.25,1,1,0.9,0.9,1.8499999
nudged_repeat,2,4,25,10,0.25,1,1,1.0,1.0,1.85
nudged_repeat,3,1,25,10,0.25,2,2,1.0,1.0,1.75
nudged_repeat,3,2,25,10,0.25,2,2,1.0,1.0,1.7
nudged_repeat,3,3,25,10,0.25,2,2,1.0,1.0,1.75
nudged_repeat,3,4,25,10,0.25,2,2,0.95,0.95,1.8
nudged_repeat,4,1,25,10,0.25,3,3,1.0,1.0,1.95
nudged_repeat,4,2,25,10,0.25,3,3,1.0,1.0,1.95
nudged_repeat,4,3,25,10,0.25,3,3,0.95,0.95,1.9
nudged_repeat,4,4,25,10,0.25,3,3,0.9,0.9,1.8
nudged_repeat,5,1,25,10,0.25,4,4,1.0,1.0,1.9
nudged_repeat,5,2,25,10,0.25,4,4,1.0,1.0,1.8
nudged_repeat,5,3,25,10,0.25,4,4,0.95,0.95,1.8
nudged_repeat,5,4,25,10,0.25,4,4,0.95,0.95,1.8499999
nudged_repeat,6,1,25,10,0.25,5,5,1.0,1.0,1.95
nudged_repeat,6,2,25,10,0.25,5,5,0.95,0.95,1.9
nudged_repeat,6,3,25,10,0.25,5,5,1.0,1.0,1.6
nudged_repeat,6,4,25,10,0.25,5,5,0.95,0.95,1.8499999
nudged_repeat,7,1,25,10,0.25,6,6,0.95,0.95,1.8
nudged_repeat,7,2,25,10,0.25,6,6,0.95,0.95,1.7
nudged_repeat,7,3,25,10,0.25,6,6,1.0,1.0,1.85
nudged_repeat,7,4,25,10,0.25,6,6,1.0,1.0,1.85
nudged_repeat,8,1,25,10,0.25,7,7,1.0,1.0,1.75
nudged_repeat,8,2,25,10,0.25,7,7,0.95,0.95,1.7
nudged_repeat,8,3,25,10,0.25,7,7,0.85,0.85,1.8
nudged_repeat,8,4,25,10,0.25,7,7,0.9,0.9,1.8
nudged_repeat,9,1,25,10,0.25,8,8,1.0,1.0,1.8
nudged_repeat,9,2,25,10,0.25,8,8,1.0,1.0,1.8499999
nudged_repeat,9,3,25,10,0.25,8,8,1.0,1.0,1.8
nudged_repeat,9,4,25,10,0.25,8,8,1.0,1.0,1.9
nudged_repeat,10,1,25,10,0.25,9,9,0.9,0.9,1.8
nudged_repeat,10,2,25,10,0.25,9,9,1.0,1.0,1.75
nudged_repeat,10,3,25,10,0.25,9,9,0.85,0.85,1.6500001
nudged_repeat,10,4,25,10,0.25,9,9,0.9,0.9,1.8
nudged_repeat,1,1,25,10,0.5,0,0,0.95,0.95,1.8499999
nudged_repeat,1,2,25,10,0.5,0,0,1.0,1.0,1.9
nudged_repeat,1,3,25,10,0.5,0,0,0.95,0.95,1.9
nudged_repeat,1,4,25,10,0.5,0,0,1.0,1.0,1.85
nudged_repeat,2,1,25,10,0.5,1,1,1.0,1.0,1.9
nudged_repeat,2,2,25,10,0.5,1,1,1.0,1.0,1.85
nudged_repeat,2,3,25,10,0.5,1,1,1.0,1.0,1.95
nudged_repeat,2,4,25,10,0.5,1,1,0.9,0.9,1.8
nudged_repeat,3,1,25,10,0.5,2,2,1.0,1.0,1.9
nudged_repeat,3,2,25,10,0.5,2,2,0.9,0.9,1.8499999
nudged_repeat,3,3,25,10,0.5,2,2,1.0,1.0,1.9
nudged_repeat,3,4,25,10,0.5,2,2,1.0,1.0,1.85
nudged_repeat,4,1,25,10,0.5,3,3,0.95,0.95,1.7
nudged_repeat,4,2,25,10,0.5,3,3,0.95,0.95,1.9
nudged_repeat,4,3,25,10,0.5,3,3,1.0,1.0,1.9
nudged_repeat,4,4,25,10,0.5,3,3,0.95,0.95,1.8
nudged_repeat,5,1,25,10,0.5,4,4,1.0,1.0,1.75
nudged_repeat,5,2,25,10,0.5,4,4,1.0,1.0,1.95
nudged_repeat,5,3,25,10,0.5,4,4,1.0,1.0,1.8
nudged_repeat,5,4,25,10,0.5,4,4,1.0,1.0,1.95
nudged_repeat,6,1,25,10,0.5,5,5,0.95,0.95,1.75
nudged_repeat,6,2,25,10,0.5,5,5,1.0,1.0,1.95
nudged_repeat,6,3,25,10,0.5,5,5,0.95,0.95,1.75
nudged_repeat,6,4,25,10,0.5,5,5,0.95,0.95,1.8499999
nudged_repeat,7,1,25,10,0.5,6,6,1.0,1.0,1.9
nudged_repeat,7,2,25,10,0.5,6,6,0.85,0.85,1.75
nudged_repeat,7,3,25,10,0.5,6,6,1.0,1.0,1.95
nudged_repeat,7,4,25,10,0.5,6,6,1.0,1.0,1.6
nudged_repeat,8,1,25,10,0.5,7,7,1.0,1.0,1.9
nudged_repeat,8,2,25,10,0.5,7,7,0.7,0.7,1.5
nudged_repeat,8,3,25,10,0.5,7,7,1.0,1.0,1.9
nudged_repeat,8,4,25,10,0.5,7,7,1.0,1.0,1.85
nudged_repeat,9,1,25,10,0.5,8,8,0.95,0.95,1.75
nudged_repeat,9,2,25,10,0.5,8,8,0.95,0.95,1.9
nudged_repeat,9,3,25,10,0.5,8,8,1.0,1.0,2.0
nudged_repeat,9,4,25,10,0.5,8,8,1.0,1.0,1.85
nudged_repeat,10,1,25,10,0.5,9,9,1.0,1.0,1.8
nudged_repeat,10,2,25,10,0.5,9,9,0.95,0.95,1.9
nudged_repeat,10,3,25,10,0.5,9,9,0.8,0.8,1.6500001
nudged_repeat,10,4,25,10,0.5,9,9,1.0,1.0,2.0
